JobID;JobName;Partition;State;ExitCode;Elapsed;ElapsedRaw;Start;End;NodeList;AllocCPUS;NNodes;Reason;Timelimit;TimelimitRaw;WorkDir;ReqMem;MaxRSS;CPUTime;CPUTimeRAW
6991960.0;ecm-optimizer;;COMPLETED;0:0;00:00:01;1;2026-04-30T23:31:26;2026-04-30T23:31:27;n01p038;2;1;;;;;0n;0;00:00:02;2
6991961;ecm_dataset_20_single;tornado;COMPLETED;0:0;00:00:04;4;2026-04-30T23:31:33;2026-04-30T23:31:37;n01p038;56;1;None;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:03:44;224
6991961.batch;batch;;COMPLETED;0:0;00:00:04;4;2026-04-30T23:31:33;2026-04-30T23:31:37;n01p038;56;1;;;;;0n;0;00:03:44;224
6991962;ecm_opt_de_single;tornado;FAILED;1:0;00:00:03;3;2026-04-30T23:32:03;2026-04-30T23:32:06;n01p038;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:02:48;168
6991962.batch;batch;;FAILED;1:0;00:00:03;3;2026-04-30T23:32:03;2026-04-30T23:32:06;n01p038;56;1;;;;;0n;0;00:02:48;168
6991964;ecm_opt_rs_single;tornado;FAILED;1:0;00:00:03;3;2026-04-30T23:32:03;2026-04-30T23:32:06;n01p043;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:02:48;168
6991964.batch;batch;;FAILED;1:0;00:00:03;3;2026-04-30T23:32:03;2026-04-30T23:32:06;n01p043;56;1;;;;;0n;0;00:02:48;168
6991966;ecm_opt_pso_single;tornado;FAILED;1:0;00:00:03;3;2026-04-30T23:32:03;2026-04-30T23:32:06;n01p064;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:02:48;168
6991966.batch;batch;;FAILED;1:0;00:00:03;3;2026-04-30T23:32:03;2026-04-30T23:32:06;n01p064;56;1;;;;;0n;0;00:02:48;168
6991968;ecm_opt_bo_single;tornado;FAILED;1:0;00:00:04;4;2026-04-30T23:32:03;2026-04-30T23:32:07;n01p073;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:03:44;224
